region,Country Code,program,Status,Survey Review outcome,SurveyRequest,SurveyComplete,AssetLoad,Activation,Decomm
EU,IT,Locker,Activated,Approved,11/4/21 2:02,11/25/21 8:50,6/16/22,6/29/22 2:13,
EU,ES,Locker,Activated,Approved,,2/21/23 5:24,3/13/23,4/5/23 3:49,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,7/8/21 15:06,
EU,GB,Locker,Activated,Approved,3/6/21 1:02,,10/20/21,10/26/21 16:00,
EU,DE,Apt Locker,Activated,Approved,,4/1/22 3:08,4/1/22,4/10/22 0:31,
APAC,AU,Locker,Activated,,3/1/22 5:00,3/4/22 5:00,3/10/22,10/18/22 18:06,3/23/22
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/29/21 12:00,,,
NA,US,Locker,Set up software,Approved,2/3/23 12:00,2/10/23 12:00,6/15/23,7/12/23,
EU,DE,Locker,Approve product configuration,Approved,5/31/23 0:01,6/2/23 3:00,,,
EU,GB,Locker,Closed,,3/25/20 22:00,3/30/20 10:14,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Schedule consultation,,,,,,
EU,IT,Locker,Activated,Approved,7/30/21 1:49,8/30/21 6:32,9/3/21,10/12/21 9:17,
EU,ES,Locker,Activated,Approved,,2/21/23 5:24,3/13/23,4/4/23 3:48,
EU,DE,Locker,Activated,Approved,2/9/21 1:02,4/8/21 22:44,4/9/21,7/8/21 8:28,
EU,GB,Locker,Activated,Approved,3/18/21 2:01,,10/20/21,11/4/21 17:00,
EU,DE,Apt Locker,Activated,Approved,,3/14/22 14:45,3/15/22,3/17/22 0:37,
APAC,AU,Locker,Closed,,2/14/22 5:00,2/24/22 5:00,,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/31/21 12:00,,,
NA,US,Locker,Closed,Approved,11/22/21 22:00,12/9/21 22:00,,,
EU,DE,Locker,Activated,Approved,5/17/22 1:00,3/16/23 6:48,3/16/23,4/27/23 4:58,
EU,GB,Locker,Closed,Approved,3/25/20 22:00,3/30/20 10:14,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/15/23 0:00,,,,
EU,IT,Locker,Activated,Approved,8/8/19 1:34,7/22/20 10:03,8/23/21,10/13/21 9:45,
EU,ES,Locker,Activated,Approved,4/18/23 18:00,5/24/23 3:30,5/25/23,6/9/23 3:38,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,5/19/21 13:05,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/16/21 2:51,5/13/21,5/27/21 16:00,
EU,DE,Apt Locker,Activated,,,3/14/22 14:45,3/15/22,3/19/22 3:25,
APAC,AU,Locker,Activated,,2/14/22 5:00,2/23/22 5:00,4/12/22,10/18/22 18:06,5/4/22
NA,US,Locker,Closed,Approved,3/17/21 22:00,4/5/21 12:00,,,
NA,US,Locker,Closed,Approved,12/7/21 22:00,12/23/21 22:00,,,
EU,DE,Locker,Closed,Approved,6/15/22 1:06,7/4/22 5:24,8/2/22,8/18/22 6:54,3/29/23 15:00
EU,GB,Locker,Closed,Rejected,3/25/20 22:00,3/30/20 10:14,,,
EU,DE,Locker,Closed,,7/20/21 8:20,,,,
EU,IT,Locker,Wait for consultation,,7/15/23 0:00,,,,
EU,IT,Locker,Activated,Approved,11/4/21 2:02,3/8/22 2:01,11/24/22,12/16/22 1:58,
EU,ES,Locker,Activated,Approved,,3/23/23 10:22,3/23/23,4/13/23 2:47,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,5/28/21 14:18,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/16/21 2:51,5/13/21,5/24/21 16:00,3/20/23 17:00
EU,DE,Apt Locker,Activated,Approved,,3/14/22 14:45,3/15/22,3/19/22 3:25,
APAC,AU,Locker,Closed,,2/14/22 5:00,2/22/22 5:00,,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/22/21 12:00,,,
NA,US,Locker,Activated,Approved,2/3/23 12:00,2/13/23 12:00,6/15/23,7/13/23 3:00,
EU,DE,Locker,Activated,Approved,5/24/22 1:02,2/24/23 3:00,5/23/23,6/2/23 5:19,
EU,GB,Locker,Closed,Approved,2/4/21 8:32,3/8/21 10:15,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/15/23 0:00,,,,
EU,IT,Locker,Activated,Approved,6/21/19 3:57,7/22/20 10:03,12/6/21,2/28/22 10:32,
EU,ES,Locker,Activated,Approved,4/26/23 18:00,4/27/23 9:42,5/29/23,6/16/23 7:53,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,4/18/21 22:53,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/14/21 12:22,7/14/21,8/24/21 16:00,
EU,DE,Apt Locker,Activated,Approved,,3/14/22 14:45,3/15/22,3/19/22 3:25,
APAC,AU,Locker,Closed,,2/14/22 5:00,2/16/22 5:00,2/17/22,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,4/3/21 12:00,,,
NA,US,Locker,Closed,Approved,9/22/21 22:00,10/3/21 12:00,,,
EU,DE,Locker,Closed,Approved,8/10/22 1:01,11/4/22 7:52,11/4/22,11/10/22 5:11,5/25/23 15:00
EU,GB,Locker,Closed,Approved,2/4/21 8:32,3/8/21 10:15,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/15/23 0:00,,,,
EU,IT,Locker,Activated,Approved,6/21/19 3:57,4/2/20 1:14,,9/13/22 0:47,12/22/21 3:00
EU,ES,Locker,Activated,Approved,4/26/23 18:00,4/27/23 9:42,5/3/23,5/11/23 0:58,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,5/19/21 3:15,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/14/21 12:22,5/13/21,5/27/21 16:00,3/28/23 16:00
EU,DE,Apt Locker,Activated,Approved,,3/14/22 14:45,3/15/22,3/19/22 3:25,
APAC,AU,Locker,Activated,,2/14/22 5:00,2/23/22 5:00,4/12/22,10/18/22 18:06,5/5/22
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/29/21 12:00,,,
NA,US,Locker,Closed,Not Viable,2/3/23 12:00,2/15/23 12:00,,,
EU,DE,Locker,Closed,Approved,4/4/21 15:00,6/2/21 8:15,6/2/21,6/12/21 2:32,5/29/23 15:00
EU,GB,Locker,Closed,Rejected,2/4/21 8:32,3/2/21 8:04,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/15/23 0:00,,,,
EU,IT,Locker,Prepare property for installation,Approved,5/4/22 1:00,6/7/23 14:21,,,
EU,ES,Locker,Activated,Approved,4/26/23 18:00,4/27/23 9:42,5/3/23,5/10/23 1:08,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,4/18/21 22:23,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/11/21 5:43,5/13/21,5/23/21 16:00,
EU,DE,Apt Locker,Set up software,Approved,,5/10/23 4:01,5/31/23,,
APAC,AU,Locker,Closed,,2/14/22 5:00,2/23/22 5:00,,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/22/21 12:00,,,
NA,US,Locker,Activated,Approved,2/3/23 12:00,2/13/23 12:00,6/15/23,7/11/23 3:00,
EU,DE,Locker,Closed,Approved,5/20/21 15:00,8/13/21 3:47,8/13/21,8/18/21 12:44,5/23/23 15:00
EU,GB,Locker,Closed,Rejected,2/4/21 8:32,3/2/21 8:08,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/15/23 0:00,,,,
EU,IT,Locker,Prepare property for installation,Approved,7/12/22 1:00,6/7/23 14:21,,,
EU,ES,Locker,Schedule installation,Approved,4/26/23 18:00,4/27/23 9:42,5/29/23,,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,4/26/21 11:19,
EU,GB,Locker,Activated,Approved,9/1/21 1:01,9/17/21 4:24,4/19/22,4/19/22 16:00,
EU,DE,Locker,Activated,Approved,10/11/20 15:00,10/23/20 8:54,,2/15/21 10:41,
APAC,AU,Locker,Activated,,2/14/22 5:00,2/23/22 5:00,4/12/22,10/18/22 18:06,5/5/22
NA,US,Locker,Closed,Approved,3/17/21 22:00,4/1/21 12:00,,,
NA,US,Locker,Approve product configuration,,2/3/23 12:00,3/2/23 12:00,,,
EU,DE,Locker,Closed,Approved,2/2/21 15:00,6/15/21 0:43,6/15/21,7/8/21 15:06,7/10/23 15:00
EU,GB,Locker,Closed,Approved,4/20/20 22:00,7/28/20 13:48,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Send approval forms,Approved,7/5/23 0:00,7/14/23 2:49,,,
EU,IT,Locker,Prepare property for installation,Approved,6/8/22 1:00,6/7/23 14:21,,,
EU,ES,Locker,Activated,Approved,5/9/23 5:00,5/10/23 8:49,5/11/23,6/7/23 8:18,
EU,DE,Locker,Closed,Approved,2/9/21 1:02,4/8/21 22:44,4/9/21,,
EU,GB,Locker,Decommissioned,Approved,1/22/21 1:01,2/16/21 2:51,5/13/21,5/27/21 16:00,3/26/23 16:00
EU,DE,Locker,Activated,Approved,10/11/20 15:00,12/7/20 9:42,,1/10/21 12:50,
APAC,AU,Locker,Activated,Approved,9/8/22 7:00,9/12/22 7:00,10/4/22,10/31/22 19:03,10/12/22
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/22/21 12:00,,,
NA,US,Locker,Send approval forms,Approved,11/8/22 12:00,11/16/22 12:00,,,
EU,DE,Locker,Approve product configuration,Approved,5/31/23 0:01,6/15/23 8:21,,,
EU,GB,Locker,Closed,Approved,4/20/20 22:00,7/28/20 13:48,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Send approval forms,Approved,7/5/23 0:00,7/14/23 2:49,,,
EU,IT,Locker,Closed,Approved,12/5/20 1:01,1/8/21 10:05,3/31/21,6/30/21 9:14,12/1/22 3:00
EU,ES,Locker,Activated,Approved,4/5/23 18:00,4/17/23 7:24,4/18/23,4/27/23 2:08,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,5/14/21 0:40,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/17/21 2:25,5/13/21,5/27/21 16:00,3/27/23 16:00
EU,DE,Locker,Activated,Approved,8/21/20 22:01,10/22/20 7:53,,11/1/20 13:11,
APAC,AU,Locker,Closed,Rejected,9/26/22 7:00,9/29/22 7:00,,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/30/21 12:00,,,
NA,CA,Locker,Approve product configuration,Approved,8/24/22 12:00,9/21/22 12:00,,,
EU,DE,Locker,Closed,Approved,4/4/21 15:00,6/2/21 8:10,6/2/21,6/10/21 1:50,6/27/23 15:00
EU,GB,Locker,Closed,Approved,4/20/20 22:00,6/16/20 14:11,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Approve product configuration,Approved,7/7/23 0:01,7/13/23 8:52,,,
EU,IT,Locker,Activated,Approved,5/16/19 11:13,8/3/20 3:24,,10/22/20 10:12,
EU,ES,Locker,Prepare property for installation,Approved,5/24/23 0:00,5/24/23 5:14,5/29/23,,6/25/23 17:00
EU,DE,Locker,Activated,Approved,1/20/21 1:02,3/23/21 8:20,3/23/21,6/22/21 9:59,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/16/21 2:51,6/2/21,6/17/21 16:00,
EU,DE,Locker,Closed,,,10/15/21 3:57,10/15/21,,
APAC,AU,Locker,Activated,Approved,9/26/22 7:00,10/5/22 6:00,10/20/22,11/22/22 14:38,
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/31/21 12:00,,,
NA,CA,Locker,Approve product configuration,Approved,8/24/22 12:00,9/21/22 12:00,,,
EU,DE,Locker,Closed,Approved,6/20/21 15:00,9/13/21 0:28,9/14/21,9/16/21 2:50,5/4/23 15:00
EU,GB,Locker,Closed,Rejected,2/4/21 8:32,3/8/21 10:15,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Approve product configuration,Approved,7/7/23 0:01,7/13/23 8:52,,,
EU,IT,Locker,Activated,Approved,5/16/19 11:13,4/2/20 1:14,,8/17/20 7:29,
EU,ES,Locker,Activated,Approved,6/7/23 0:00,6/7/23 14:03,6/7/23,6/19/23 5:48,
EU,DE,Locker,Activated,Approved,1/20/21 1:02,4/8/21 22:44,4/9/21,5/20/21 13:36,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/9/21 8:42,7/14/21,7/15/21 16:00,
EU,DE,Locker,Activated,Approved,2/1/21 15:00,4/28/21 8:44,4/28/21,5/21/21 8:37,
APAC,AU,Locker,Activated,Approved,9/10/22 7:00,9/12/22 7:00,9/16/22,10/19/22 15:30,9/29/22
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/29/21 12:00,,,
NA,CA,Locker,Approve product configuration,Approved,8/24/22 12:00,9/21/22 12:00,,,
EU,DE,Locker,Review installation guide and configure product,,7/7/23 0:01,7/11/23 15:00,,,
EU,GB,Locker,Closed,Approved,4/20/20 22:00,5/12/20 10:29,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/7/23 3:43,,,,
EU,IT,Locker,Closed,Approved,7/3/21 2:39,7/8/21 9:06,,,
EU,ES,Locker,Activated,Approved,,6/5/23 7:00,6/6/23,6/15/23 4:11,
EU,DE,Locker,Activated,Approved,2/9/21 1:02,6/30/21 5:15,6/30/21,7/20/21 13:00,
EU,GB,Locker,Closed,Approved,1/22/21 1:01,2/9/21 8:42,5/13/21,5/27/21 16:00,3/28/23 16:00
EU,DE,Locker,Closed,Approved,2/1/21 15:00,,,,
APAC,AU,Locker,Closed,Approved,9/8/22 7:00,9/12/22 7:00,,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,4/2/21 12:00,,,
NA,US,Locker,Wait for installation,Approved,6/26/23 3:00,6/28/23 3:00,7/12/23,7/26/23,
EU,DE,Locker,Closed,Approved,7/19/21 15:00,10/22/21 4:04,10/22/21,11/8/21 5:48,7/18/23 15:00
EU,GB,Locker,Closed,Approved,2/4/21 8:21,2/17/21 6:09,,,
EU,DE,Locker,Closed,,7/19/21 15:00,,,,
EU,IT,Locker,Wait for consultation,,7/7/23 3:43,,,,
EU,IT,Locker,Prepare property for installation,Approved,1/10/23 1:00,6/7/23 14:27,,,
EU,ES,Locker,Activated,Approved,5/20/23 0:00,5/24/23 3:30,5/25/23,6/9/23 2:28,
EU,DE,Locker,Activated,Approved,5/8/21 1:01,6/30/21 5:15,6/30/21,7/22/21 2:02,
EU,GB,Locker,Activated,Approved,1/22/21 1:01,2/14/21 12:22,5/13/21,5/24/21 16:00,
EU,DE,Locker,Closed,Approved,2/1/21 15:00,,,,
APAC,AU,Locker,Closed,On Hold,7/19/22 7:00,7/24/22 7:00,,,
NA,US,Locker,Closed,Approved,3/17/21 22:00,3/31/21 12:00,,,
